studied_course,Background,interested,Hours_Study,Study_Materials,Practical_Work,Alone_Study,Hours_Sleep,Soc_Activ,stressed_anx,Exp_GPA,Calc_GPA
Biochemistry,Chemistry,7,4,Internet Resources(Videos Articles):Notes,Yes,No,7,Programming:Fishing:Modelling:Sports:Volunteering Work:Friend Circle in the University,No,1,2.5
Latin,History,10,2,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended,Prefer not to Say,No,3,Volunteering Work,Yes,2,1.5
Mandarin,History,10,5,Notes,Prefer not to Say,No,1,Fishing:Modelling:Sports,Yes,4,2.5
Linear Algebra,Mathematics,5,2,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,Prefer not to Say,No,10+,Friend Circle in the University,No,4,1
Probability and Statistics,Mathematics,4,0,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,10+,Sports:Modelling,No,4,1.5
Organic Chemistry,Languages,2,2,Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,Yes,4,Fishing:Programming:Modelling:Friend Circle in the University,No,3,1.5
Databases,Languages,10,8,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,No,7,Friend Circle in the University:Modelling:Programming:Fishing,No,1,3
Biochemistry,Chemistry,1,2,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,No,1,Modelling,No,1,2
Functional Programming,Languages,0,7,Notes:Books-Out Of Course:Lecture Slides:Books-Recommended,No,Yes,9,Sports:Friend Circle in the University:Modelling:Programming,No,3,1.5
Mandarin,History,0,6,Internet Resources(Videos Articles),Yes,Yes,4,Programming:Friend Circle in the University:Modelling,No,1,4
English,Biology,1,2,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Notes,,No,1,Volunteering Work,Yes,3,1
Genetics,History,0,1,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes:Books-Recommended,No,No,3,Fishing:Modelling:Programming:Friend Circle in the University:Sports:Volunteering Work,Yes,2,1.5
English,History,8,5,Lecture Slides:Notes:Books-Out Of Course,,Yes,10+,Fishing:Friend Circle in the University,No,4,1.5
Databases,Languages,2,0,Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,No,3,Programming:Friend Circle in the University:Modelling:Volunteering Work,Yes,3,2
Mandarin,Mathematics,7,6,Books-Recommended,Prefer not to Say,Yes,4,Programming:Volunteering Work,Yes,4,1.5
Latin,Mathematics,3,7,Internet Resources(Videos Articles):Books-Out Of Course:Notes:Books-Recommended:Lecture Slides,Prefer not to Say,Yes,3,Programming:Fishing,No,4,3
Databases,Computer Science,5,3,Notes:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),Yes,Yes,8,Sports:Fishing:Programming:Volunteering Work:Modelling,No,1,2.5
Mandarin,Chemistry,1,10+,Notes:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,Yes,No,4,Fishing:Modelling:Friend Circle in the University:Volunteering Work,Yes,1,1
Biochemistry,Mathematics,1,7,Internet Resources(Videos Articles),Prefer not to Say,No,8,Sports:Friend Circle in the University:Programming:Volunteering Work:Fishing,No,2,3.5
Genetics,Mathematics,3,9,Lecture Slides:Books-Recommended:Books-Out Of Course,,No,1,Volunteering Work:Sports,No,1,2.5
Databases,History,2,6,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,,Yes,4,Volunteering Work:Programming:Modelling:Friend Circle in the University:Fishing:Sports,Yes,3,1
Linear Algebra,Biology,5,10+,Internet Resources(Videos Articles):Notes:Books-Recommended,Prefer not to Say,No,4,Fishing:Volunteering Work:Friend Circle in the University,Yes,1,2
Genetics,Mathematics,6,4,Books-Recommended,,No,1,Modelling,Yes,1,2
Latin,Computer Science,8,7,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Out Of Course,No,No,0,Modelling,Yes,3,2.5
Functional Programming,Mathematics,2,3,Notes:Books-Recommended,Yes,No,9,Programming:Fishing:Volunteering Work:Friend Circle in the University,Yes,4,2.5
Linear Algebra,Computer Science,8,10+,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides:Notes,Yes,No,5,Volunteering Work:Friend Circle in the University:Modelling:Fishing,No,3,4
Latin,Mathematics,6,10+,Lecture Slides:Notes:Books-Recommended,Prefer not to Say,Yes,1,Fishing:Volunteering Work,Yes,1,2
Genetics,Languages,1,9,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,No,Yes,10+,Modelling:Volunteering Work,No,1,1.5
Databases,Chemistry,2,10+,Lecture Slides:Notes:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),Prefer not to Say,Yes,2,Volunteering Work:Friend Circle in the University:Programming:Modelling:Sports,No,2,3.5
Databases,Languages,5,3,Internet Resources(Videos Articles):Books-Recommended:Notes,Yes,Yes,4,Fishing:Programming:Modelling:Volunteering Work,Yes,1,2
Genetics,Languages,4,7,Books-Out Of Course:Books-Recommended,Yes,Yes,2,Friend Circle in the University,No,3,3.5
Genetics,Biology,3,8,Books-Out Of Course,Prefer not to Say,No,8,Fishing,Yes,3,4
Biochemistry,Biology,0,1,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,Yes,2,Friend Circle in the University:Fishing:Volunteering Work:Sports:Programming,Yes,1,2.5
Genetics,Languages,1,9,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,9,Friend Circle in the University:Modelling:Fishing:Sports:Programming,No,4,1.5
Biochemistry,Biology,8,2,Books-Out Of Course:Notes:Books-Recommended,Prefer not to Say,No,10+,Sports:Fishing,Yes,1,1.5
Genetics,Languages,6,10+,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,Yes,No,7,Sports:Modelling:Volunteering Work:Friend Circle in the University,No,3,2
Latin,Chemistry,1,2,Notes:Books-Recommended:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),No,Yes,9,Sports:Modelling,Yes,4,1.5
English,Languages,3,2,Books-Out Of Course,,Yes,0,Fishing,Yes,3,2
Linear Algebra,History,6,2,Lecture Slides:Notes:Books-Out Of Course,Yes,No,5,Fishing:Sports:Friend Circle in the University:Volunteering Work:Programming:Modelling,No,2,2.5
Probability and Statistics,Computer Science,10,2,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,,Yes,1,Fishing,No,3,1
English,History,1,0,Books-Out Of Course,Prefer not to Say,Yes,7,Sports:Fishing:Volunteering Work,Yes,1,1.5
Probability and Statistics,Computer Science,10,2,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Books-Recommended,,No,5,Modelling:Friend Circle in the University,No,4,2
Biochemistry,Computer Science,6,8,Books-Out Of Course:Books-Recommended:Lecture Slides,No,No,6,Sports:Programming:Fishing,No,4,3.5
Organic Chemistry,Biology,3,4,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Out Of Course:Books-Recommended,Prefer not to Say,No,0,Sports:Fishing:Volunteering Work:Programming,Yes,4,1.5
Probability and Statistics,Mathematics,4,7,Books-Recommended,Prefer not to Say,No,6,Fishing:Sports,No,3,1
Functional Programming,Computer Science,10,1,Lecture Slides:Books-Recommended:Notes:Books-Out Of Course,Prefer not to Say,Yes,9,Friend Circle in the University:Programming:Modelling:Volunteering Work:Fishing:Sports,No,3,4
English,History,8,0,Internet Resources(Videos Articles):Lecture Slides,No,No,2,Sports,Yes,1,1.5
Probability and Statistics,Mathematics,5,3,Lecture Slides,No,No,0,Fishing:Modelling:Sports:Programming:Volunteering Work,Yes,3,1.5
Biochemistry,Biology,6,7,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,,No,5,Friend Circle in the University:Volunteering Work,No,4,3
Mandarin,Chemistry,5,3,Lecture Slides:Books-Recommended:Notes,Prefer not to Say,No,10+,Fishing:Sports:Modelling,Yes,4,2
Biochemistry,Biology,7,3,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),Yes,No,3,Programming:Modelling:Fishing,Yes,1,2.5
English,Biology,0,10+,Lecture Slides:Books-Out Of Course:Books-Recommended:Notes,,No,0,Friend Circle in the University:Volunteering Work:Modelling,No,4,2
Databases,History,3,5,Internet Resources(Videos Articles):Notes,Prefer not to Say,Yes,2,Fishing:Volunteering Work:Friend Circle in the University:Modelling:Sports:Programming,Yes,2,2.5
Databases,History,10,8,Notes:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Books-Recommended,Yes,No,6,Volunteering Work:Fishing:Modelling:Programming:Sports:Friend Circle in the University,Yes,3,2.5
Genetics,Languages,10,1,Books-Recommended,,No,5,Fishing:Modelling:Programming:Volunteering Work:Sports:Friend Circle in the University,Yes,2,3
Linear Algebra,Mathematics,7,10+,Notes:Books-Recommended,,Yes,0,Sports:Fishing,Yes,2,1.5
Databases,Mathematics,9,3,Books-Out Of Course,Prefer not to Say,Yes,10+,Friend Circle in the University:Programming:Sports,No,3,1.5
Linear Algebra,Computer Science,8,6,Notes:Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,No,4,Friend Circle in the University:Volunteering Work:Modelling:Programming,Yes,4,2.5
Latin,Mathematics,5,7,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,Yes,No,4,Sports,Yes,1,1.5
Latin,Languages,5,8,Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles):Books-Recommended,Yes,Yes,6,Modelling:Volunteering Work:Fishing:Sports,Yes,3,1.5
Databases,Computer Science,3,9,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Notes,,Yes,1,Volunteering Work:Programming:Sports:Friend Circle in the University:Fishing:Modelling,Yes,4,1.5
English,History,7,9,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Notes,,Yes,10+,Sports:Volunteering Work,Yes,3,2
Biochemistry,Chemistry,7,10+,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,No,Yes,2,Volunteering Work:Sports:Fishing:Friend Circle in the University:Programming:Modelling,No,1,2
Linear Algebra,Mathematics,8,2,Books-Out Of Course:Internet Resources(Videos Articles):Notes:Lecture Slides,No,Yes,9,Programming:Sports:Fishing:Volunteering Work,No,3,4
Functional Programming,Computer Science,1,3,Books-Out Of Course:Books-Recommended,No,No,4,Modelling,Yes,2,1.5
Databases,Computer Science,9,9,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Notes,Yes,Yes,0,Fishing:Sports:Friend Circle in the University,No,2,3
Functional Programming,Mathematics,5,5,Notes:Lecture Slides:Books-Out Of Course,No,No,1,Sports:Volunteering Work:Modelling:Fishing:Friend Circle in the University:Programming,Yes,3,1
Genetics,History,2,9,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),No,No,8,Friend Circle in the University:Fishing,Yes,2,3.5
Probability and Statistics,Chemistry,9,4,Notes:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,,Yes,4,Programming:Fishing,No,3,2
Organic Chemistry,Biology,1,0,Notes:Books-Recommended,,Yes,7,Volunteering Work:Programming:Friend Circle in the University:Modelling,Yes,2,4
Genetics,Chemistry,6,8,Internet Resources(Videos Articles):Notes:Books-Recommended:Lecture Slides:Books-Out Of Course,Prefer not to Say,No,2,Fishing:Friend Circle in the University,No,4,2.5
Probability and Statistics,Biology,0,5,Notes,Yes,Yes,2,Programming:Friend Circle in the University:Fishing,No,1,1
Latin,Languages,7,9,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,,No,1,Modelling,No,2,2
Latin,Computer Science,9,0,Books-Out Of Course:Notes,No,Yes,8,Sports:Modelling:Friend Circle in the University:Fishing,Yes,3,1.5
Biochemistry,Languages,2,7,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Books-Recommended,Yes,Yes,3,Sports:Modelling:Fishing:Friend Circle in the University:Programming,Yes,3,1
English,Biology,8,3,Lecture Slides:Books-Out Of Course:Notes,No,Yes,4,Volunteering Work:Programming:Fishing,Yes,3,1.5
Genetics,History,10,1,Lecture Slides:Books-Recommended,Prefer not to Say,No,10+,Modelling:Friend Circle in the University,Yes,2,1
Databases,Languages,9,5,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,,Yes,8,Friend Circle in the University:Programming:Fishing:Modelling:Sports:Volunteering Work,Yes,4,2.5
Latin,Languages,0,3,Books-Out Of Course:Notes,No,Yes,7,Sports:Modelling:Programming:Volunteering Work:Fishing:Friend Circle in the University,No,1,2
Genetics,Chemistry,9,5,Books-Recommended:Internet Resources(Videos Articles):Notes,Yes,Yes,0,Fishing:Volunteering Work:Friend Circle in the University:Modelling:Sports:Programming,Yes,2,1.5
Genetics,History,4,4,Books-Recommended,,Yes,2,Fishing:Modelling:Sports:Volunteering Work:Friend Circle in the University:Programming,No,4,4
Databases,Mathematics,0,9,Books-Out Of Course,,Yes,10+,Volunteering Work:Friend Circle in the University:Programming,No,3,3.5
Probability and Statistics,Mathematics,6,8,Books-Recommended:Books-Out Of Course:Lecture Slides,Yes,Yes,6,Programming:Fishing:Modelling:Friend Circle in the University:Volunteering Work:Sports,No,1,1.5
Linear Algebra,Biology,2,3,Lecture Slides:Books-Recommended:Books-Out Of Course,No,No,2,Volunteering Work:Modelling:Sports,No,1,1.5
Biochemistry,Computer Science,6,1,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended,,No,1,Fishing:Programming:Modelling:Volunteering Work:Sports,Yes,4,2.5
Databases,Biology,1,8,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Notes,Prefer not to Say,No,6,Sports:Programming:Friend Circle in the University:Fishing:Modelling:Volunteering Work,No,2,1.5
Functional Programming,Mathematics,0,9,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),,No,4,Programming:Friend Circle in the University:Volunteering Work:Modelling:Fishing:Sports,No,3,2
Latin,Languages,3,6,Books-Out Of Course:Books-Recommended,,Yes,8,Programming:Friend Circle in the University:Volunteering Work:Fishing:Modelling:Sports,Yes,3,2.5
Latin,History,8,0,Lecture Slides:Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,No,7,Friend Circle in the University:Fishing:Modelling:Programming:Sports:Volunteering Work,No,3,3
Linear Algebra,Languages,9,7,Notes:Lecture Slides:Books-Out Of Course,,No,9,Volunteering Work:Fishing:Modelling:Sports:Friend Circle in the University,Yes,3,3
Biochemistry,Biology,8,10+,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes,No,No,2,Sports:Modelling:Fishing:Volunteering Work:Friend Circle in the University:Programming,Yes,1,2.5
Genetics,Mathematics,0,10+,Internet Resources(Videos Articles):Notes:Books-Recommended,No,Yes,8,Volunteering Work:Sports,Yes,1,1.5
Organic Chemistry,Biology,1,6,Lecture Slides,Yes,Yes,3,Friend Circle in the University:Sports:Volunteering Work:Fishing:Programming,Yes,3,2
Linear Algebra,Biology,3,0,Lecture Slides:Internet Resources(Videos Articles),Yes,No,10+,Volunteering Work:Friend Circle in the University:Sports:Modelling,Yes,2,1
Databases,Biology,0,3,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Notes,Yes,Yes,10+,Sports,No,2,3
Probability and Statistics,Chemistry,8,2,Books-Out Of Course:Notes:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,,No,9,Sports,No,4,4
Organic Chemistry,Biology,1,2,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,,No,0,Programming:Friend Circle in the University:Fishing:Volunteering Work,No,1,2.5
Databases,Languages,4,7,Books-Recommended:Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,5,Sports:Modelling:Friend Circle in the University:Programming,Yes,2,3
Organic Chemistry,Computer Science,7,2,Books-Recommended,Prefer not to Say,No,3,Volunteering Work:Fishing:Sports,Yes,4,1.5
Genetics,History,3,1,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,,Yes,0,Fishing:Friend Circle in the University:Modelling:Sports,Yes,1,1
Latin,Mathematics,1,8,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),No,No,0,Sports:Volunteering Work,No,3,2.5
English,Languages,5,9,Notes:Books-Out Of Course,,No,4,Modelling:Programming:Sports,No,3,3.5
Biochemistry,Computer Science,6,8,Lecture Slides:Books-Recommended:Notes:Books-Out Of Course,No,No,5,Fishing:Volunteering Work:Modelling:Programming:Sports,No,4,2
Organic Chemistry,Computer Science,9,5,Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,Yes,10+,Modelling:Sports:Programming:Fishing:Volunteering Work,No,4,2.5
Organic Chemistry,History,7,0,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended,Yes,No,9,Programming:Fishing:Friend Circle in the University,No,1,2.5
Latin,Languages,7,2,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Lecture Slides:Notes,Prefer not to Say,Yes,9,Programming:Fishing,Yes,2,1
Linear Algebra,Mathematics,0,5,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course,No,Yes,1,Modelling:Sports,No,1,3
Mandarin,Computer Science,8,10+,Notes:Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),Yes,No,2,Friend Circle in the University:Programming:Fishing:Sports,Yes,1,1.5
Functional Programming,Languages,2,1,Books-Out Of Course:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Notes,No,No,2,Programming,Yes,4,1
Databases,Languages,2,3,Notes:Books-Recommended:Lecture Slides,,Yes,6,Sports:Friend Circle in the University:Modelling,No,4,3.5
Probability and Statistics,Chemistry,4,3,Notes:Lecture Slides,No,No,3,Volunteering Work:Modelling:Friend Circle in the University,Yes,1,2.5
Probability and Statistics,Chemistry,4,4,Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,Prefer not to Say,Yes,2,Modelling:Friend Circle in the University:Programming,Yes,4,1.5
Linear Algebra,Computer Science,0,2,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Notes:Books-Out Of Course,No,Yes,8,Programming:Volunteering Work,Yes,3,4
Latin,Languages,3,6,Internet Resources(Videos Articles):Lecture Slides,No,No,0,Programming:Volunteering Work:Friend Circle in the University:Sports:Modelling:Fishing,No,3,3
Databases,Biology,0,10+,Books-Out Of Course:Books-Recommended:Lecture Slides,Prefer not to Say,Yes,3,Modelling,No,4,4
Biochemistry,Languages,3,0,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Out Of Course,,No,6,Sports:Fishing:Modelling,No,4,2
Biochemistry,Biology,10,5,Notes:Internet Resources(Videos Articles),Yes,No,8,Volunteering Work:Friend Circle in the University:Modelling:Programming:Sports:Fishing,Yes,1,4
Databases,Chemistry,3,1,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,Yes,Yes,0,Modelling:Volunteering Work:Friend Circle in the University:Fishing:Programming:Sports,No,2,4
Functional Programming,Chemistry,6,8,Internet Resources(Videos Articles):Books-Out Of Course:Notes:Books-Recommended:Lecture Slides,No,No,0,Friend Circle in the University:Volunteering Work:Programming:Sports:Fishing:Modelling,Yes,4,2
Functional Programming,Biology,1,8,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course,No,No,3,Friend Circle in the University:Modelling:Programming:Sports:Volunteering Work,Yes,3,2
Genetics,Computer Science,7,4,Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,0,Modelling,Yes,2,1
Genetics,Biology,2,7,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Lecture Slides,No,Yes,0,Volunteering Work:Fishing:Modelling,Yes,4,2
Mandarin,Computer Science,3,5,Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,9,Programming:Friend Circle in the University:Sports:Volunteering Work:Modelling:Fishing,Yes,2,3.5
Functional Programming,Languages,8,9,Internet Resources(Videos Articles):Notes,No,No,8,Volunteering Work:Friend Circle in the University:Fishing:Sports:Modelling,Yes,4,2
English,Computer Science,7,5,Internet Resources(Videos Articles):Lecture Slides,,No,6,Volunteering Work:Modelling,No,3,3.5
Genetics,Computer Science,8,2,Books-Recommended:Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles),Yes,No,9,Fishing:Friend Circle in the University,No,3,4
Latin,Languages,0,9,Books-Out Of Course:Books-Recommended:Lecture Slides,No,No,1,Modelling:Sports:Fishing:Friend Circle in the University:Programming,Yes,4,1
Functional Programming,Mathematics,0,10+,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Books-Out Of Course,Prefer not to Say,No,5,Sports,Yes,1,1
Organic Chemistry,Mathematics,6,2,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Notes,Prefer not to Say,No,10+,Volunteering Work,No,4,3
English,Languages,7,4,Lecture Slides:Notes,,No,4,Sports:Friend Circle in the University:Modelling:Fishing:Programming:Volunteering Work,Yes,4,1
Linear Algebra,History,3,10+,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,Yes,No,2,Friend Circle in the University:Programming:Volunteering Work:Modelling,No,4,2.5
Organic Chemistry,Mathematics,10,4,Notes:Books-Recommended:Lecture Slides:Books-Out Of Course,,Yes,0,Sports:Modelling:Friend Circle in the University:Volunteering Work:Fishing:Programming,No,4,4
Latin,Chemistry,1,2,Lecture Slides:Books-Out Of Course,Prefer not to Say,Yes,4,Fishing:Modelling:Sports:Volunteering Work,Yes,1,1.5
Probability and Statistics,History,0,3,Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,Yes,No,4,Volunteering Work,No,4,4
Linear Algebra,History,5,1,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Yes,No,1,Fishing:Volunteering Work:Modelling,Yes,4,2.5
Biochemistry,Languages,2,1,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,Yes,Yes,0,Fishing:Modelling:Sports:Programming:Volunteering Work:Friend Circle in the University,No,2,1.5
Latin,Computer Science,10,1,Internet Resources(Videos Articles):Notes:Lecture Slides,No,No,2,Modelling:Fishing:Friend Circle in the University:Programming:Volunteering Work:Sports,No,3,3.5
Linear Algebra,Biology,1,1,Notes:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),Yes,Yes,6,Sports:Friend Circle in the University:Modelling:Fishing:Programming,Yes,3,4
Functional Programming,Biology,9,2,Internet Resources(Videos Articles):Books-Out Of Course:Notes:Lecture Slides:Books-Recommended,Yes,No,7,Sports,Yes,3,1
Mandarin,History,1,4,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,Yes,No,2,Programming:Modelling:Sports:Volunteering Work,Yes,1,2.5
Probability and Statistics,Mathematics,6,5,Notes:Internet Resources(Videos Articles),No,Yes,10+,Fishing:Sports:Modelling:Volunteering Work:Programming,No,1,3.5
Probability and Statistics,Chemistry,5,0,Books-Recommended,,Yes,2,Volunteering Work:Modelling,No,3,3
Linear Algebra,Mathematics,8,8,Books-Out Of Course:Lecture Slides,No,No,2,Fishing:Modelling:Sports:Programming:Friend Circle in the University,Yes,4,2
Functional Programming,Mathematics,10,6,Books-Recommended:Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Notes,Yes,No,10+,Modelling:Friend Circle in the University,Yes,4,3
Biochemistry,Mathematics,1,2,Books-Recommended:Books-Out Of Course:Lecture Slides,No,No,6,Sports:Volunteering Work:Modelling,No,1,3
Databases,Chemistry,8,1,Internet Resources(Videos Articles):Books-Recommended:Notes:Lecture Slides,No,Yes,10+,Modelling:Programming,Yes,3,3
Databases,Mathematics,10,9,Books-Out Of Course:Internet Resources(Videos Articles),,No,2,Programming:Friend Circle in the University:Volunteering Work:Fishing:Sports,No,3,3
Linear Algebra,Chemistry,7,7,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Yes,Yes,7,Friend Circle in the University:Programming:Sports,No,4,3
Biochemistry,Biology,6,2,Books-Out Of Course,Yes,No,8,Modelling:Fishing:Friend Circle in the University:Programming:Sports,Yes,1,1.5
Organic Chemistry,Languages,9,6,Books-Recommended:Notes:Books-Out Of Course,No,Yes,9,Volunteering Work:Modelling:Programming:Fishing:Sports,No,3,2.5
Functional Programming,Languages,0,2,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Notes:Books-Out Of Course,Prefer not to Say,Yes,3,Fishing:Modelling:Sports:Friend Circle in the University:Volunteering Work:Programming,Yes,2,2.5
Linear Algebra,History,8,1,Internet Resources(Videos Articles):Notes:Books-Recommended:Books-Out Of Course:Lecture Slides,No,Yes,3,Modelling:Fishing:Volunteering Work:Sports:Friend Circle in the University,No,4,3.5
Biochemistry,History,4,10+,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Notes,No,Yes,9,Programming:Sports:Volunteering Work:Friend Circle in the University,Yes,3,3
Genetics,Biology,1,10+,Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,No,No,0,Friend Circle in the University:Programming:Modelling:Fishing,Yes,3,1
Biochemistry,Computer Science,5,3,Books-Recommended:Books-Out Of Course,,Yes,7,Volunteering Work:Sports:Programming,No,3,1.5
English,History,10,1,Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Notes,,No,6,Fishing:Programming,No,3,1
Linear Algebra,Mathematics,7,5,Notes:Books-Recommended:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),No,No,6,Friend Circle in the University:Modelling,No,2,2
Linear Algebra,Biology,10,10+,Notes:Books-Recommended,,Yes,7,Modelling:Fishing:Friend Circle in the University:Programming:Volunteering Work:Sports,Yes,3,3.5
Organic Chemistry,Mathematics,10,6,Books-Recommended:Lecture Slides:Books-Out Of Course:Notes,No,No,7,Friend Circle in the University,Yes,1,2
Linear Algebra,Mathematics,10,5,Books-Recommended:Books-Out Of Course,Yes,No,9,Sports:Friend Circle in the University:Programming:Fishing:Volunteering Work,No,3,1
Genetics,Chemistry,9,9,Internet Resources(Videos Articles):Notes:Books-Out Of Course,,Yes,10+,Programming:Friend Circle in the University:Fishing:Sports:Volunteering Work,No,1,1.5
Functional Programming,Languages,5,10+,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes,No,Yes,7,Modelling,Yes,1,3
Genetics,Biology,9,4,Notes:Internet Resources(Videos Articles):Books-Recommended,No,Yes,6,Sports:Friend Circle in the University:Modelling:Volunteering Work:Programming:Fishing,No,2,2
Genetics,Mathematics,8,8,Books-Out Of Course:Books-Recommended:Notes:Internet Resources(Videos Articles),,Yes,5,Fishing,Yes,1,3
Genetics,Biology,9,8,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,Yes,No,3,Friend Circle in the University:Programming:Volunteering Work:Sports,No,4,2.5
Mandarin,Biology,5,7,Books-Recommended,Prefer not to Say,No,0,Volunteering Work:Sports:Fishing:Modelling:Programming,Yes,3,1
Databases,Languages,9,7,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,No,No,7,Fishing:Friend Circle in the University:Programming:Modelling:Volunteering Work:Sports,Yes,2,2.5
Databases,Chemistry,9,7,Books-Out Of Course,Yes,No,0,Fishing:Sports:Programming:Modelling:Volunteering Work,No,1,1.5
Functional Programming,Mathematics,8,5,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,Yes,Yes,3,Modelling:Fishing:Volunteering Work:Friend Circle in the University:Programming,Yes,3,2.5
